ENSG00000196966	HIST1H3E
ENSG00000227184	EPPK1
ENSG00000213494	CCL14
ENSG00000006074	CCL18
ENSG00000269962	RP13-238F13
ENSG00000260833	AC124789
ENSG00000272675	ENSG00000272675
ENSG00000205021	ENSG00000205021
ENSG00000240754	ENSG00000240754
ENSG00000129277	ENSG00000129277
ENSG00000174083	ENSG00000174083
ENSG00000205020	ENSG00000205020
ENSG00000255594	ENSG00000255594
ENSG00000270466	ENSG00000270466
ENSG00000196533	ENSG00000196533
ENSG00000231486	ENSG00000231486
ENSG00000260655	ENSG00000260655
ENSG00000229164	ENSG00000229164
ENSG00000269640	ENSG00000269640
ENSG00000211953	ENSG00000211953
ENSG00000264198	ENSG00000264198
ENSG00000006075	ENSG00000006075
ENSG00000136653	ENSG00000136653
ENSG00000266037	ENSG00000266037
ENSG00000269416	LINC01224
ENSG00000070087	PFN2
ENSG00000008517	IL32
ENSG00000057294	PKP2
ENSG00000167768	KRT1
ENSG00000137962	ARHGAP29
ENSG00000169992	NLGN2
ENSG00000196126	HLA-DRB1
ENSG00000232301	RP11-132A1
ENSG00000206047	DEFA1
ENSG00000072694	FCGR2B
ENSG00000181649	PHLDA2
ENSG00000138735	PDE5A
ENSG00000257151	PWAR6
ENSG00000255248	RP11-166D19
ENSG00000158481	CD1C
ENSG00000112303	VNN2
ENSG00000186265	BTLA
ENSG00000211679	IGLC3
ENSG00000197565	COL4A6
ENSG00000165716	FAM69B
ENSG00000101680	LAMA1
ENSG00000105088	OLFM2
ENSG00000142347	MYO1F
ENSG00000151632	AKR1C2
ENSG00000078295	ADCY2
ENSG00000148677	ANKRD1
ENSG00000153898	MCOLN2
ENSG00000050820	BCAR1
ENSG00000223865	HLA-DPB1
ENSG00000090382	LYZ
ENSG00000175745	NR2F1
ENSG00000120937	NPPB
ENSG00000160867	FGFR4
ENSG00000130545	CRB3
ENSG00000204580	DDR1
ENSG00000117519	CNN3
ENSG00000066336	SPI1
ENSG00000124107	SLPI
ENSG00000104611	SH2D4A
ENSG00000139926	FRMD6
ENSG00000138772	ANXA3
ENSG00000152990	ADGRA3
ENSG00000140443	IGF1R
ENSG00000155926	SLA
ENSG00000077009	NMRK2
ENSG00000125726	CD70
ENSG00000110324	IL10RA
ENSG00000211947	IGHV3-21
ENSG00000113657	DPYSL3
ENSG00000034053	APBA2
ENSG00000162692	VCAM1
ENSG00000185630	PBX1
ENSG00000168243	GNG4
ENSG00000253522	CTC-231O11
ENSG00000163534	FCRL1
ENSG00000154556	SORBS2
ENSG00000243649	CFB
ENSG00000129596	CDO1
ENSG00000087237	CETP
ENSG00000182487	NCF1B
ENSG00000211898	IGHD
ENSG00000148200	NR6A1
ENSG00000026297	RNASET2
ENSG00000136490	LIMD2
ENSG00000064309	CDON
ENSG00000074370	ATP2A3
ENSG00000196954	CASP4
ENSG00000092621	PHGDH
ENSG00000158246	FAM46B
ENSG00000196950	SLC39A10
ENSG00000128340	RAC2
ENSG00000118503	TNFAIP3
ENSG00000165617	DACT1
ENSG00000130508	PXDN
ENSG00000187134	AKR1C1
ENSG00000110811	P3H3
ENSG00000185499	MUC1
ENSG00000101265	RASSF2
ENSG00000103449	SALL1
ENSG00000105419	MEIS3
ENSG00000105048	TNNT1
ENSG00000151651	ADAM8
ENSG00000197261	C6orf141
ENSG00000088280	ASAP3
ENSG00000166220	TBATA
ENSG00000166250	CLMP
