chrom_start_end	H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
chr7_127544000_127548400	-0.0345761546988	0.999975883649	1.00276636134	-0.00802619139226	-0.00483909878422
chr4_76527400_76555000	0.0439248908785	0.00655282368824	-0.011049422346	0.00276607431314	0.0109786969391
chr5_145824000_145825600	0.00711151126164	-0.0036767692775	0.0242322348141	0.00283209588537	0.014080683732
chr1_20712600_20713400	0.0117050550935	-0.0028073930813	0.021803088305	-0.0124958149796	1.02097264867
chr7_33139000_33140800	0.0201334326196	0.981348891476	1.00141767249	0.0208337747567	0.00471042593596
chr3_76581600_76582000	0.0218271561675	1.02869145426	-0.00433398709786	0.021018277804	-0.000317856157248
chr3_130516200_130529600	0.00852798398821	-0.0272188124854	-0.0267828853524	0.0154161358475	0.0185764798838
chr13_28126600_28127600	0.00307791046114	0.00619291534718	1.00163834867	0.00483337978291	-0.0116252636472
chr22_38782600_38783600	1.00226960962	0.463839657046	-0.0137683987828	0.0157677362685	-0.000374962806597
chr21_42597800_42601600	0.00100337581049	-0.00735338333686	-0.00824997244473	-0.0177153685349	0.467800613521
chr16_85953000_85956000	-0.0168559732334	-0.0197451766884	0.998624442807	0.00983759419075	0.0225289400653
chr1_111035600_111045000	-0.01814310497	-0.0289193788498	0.0240331660916	0.0473713581402	0.510196723975
chr1_228871000_228907600	-0.0175564270302	0.0123411662461	0.0107692617077	0.00186271867775	0.48159295914
chr4_1319600_1320000	-0.0123825543215	-0.0112408490711	0.472424639016	0.0104464275656	-0.0113290619692
chr14_22304000_22324600	0.0391821849984	-0.0103836209789	0.00622812181345	-0.030422431158	-0.0181238902418
chr7_148833000_148841400	-0.00324006448618	0.0177480716402	0.501955754633	0.0065772992474	0.00652709788354
chr2_45007800_45008400	0.488861621388	0.00238162153624	0.994505595439	1.03573909731	-0.00378076667778
chr18_33568200_33571600	0.0157560466056	-0.0110271538455	0.988964721915	-0.00549591862237	0.0107090628491
chr3_122184400_122184600	-0.00514069552399	-0.00862400041282	0.987753746584	-0.0393667950318	-0.0147342131475
chr9_108073400_108080800	-0.0265310760943	-0.0044343963599	-0.000866674147967	0.0206682159489	0.0129624806464
chr16_75551600_75568200	0.0330497747923	0.0232315670671	-0.0344295050488	0.0207273104516	0.0129048665808
